document_id,external_id,name,file_path
540642500,2-s2.0-85179254672,Regulatory Barriers to the Diffusion of Innovation: Some Evidence from Building Codes,
2706939913,2-s2.0-85112040520,Can the new energy vehicle pilot policy achieve green innovation and emission reduction?—a difference-in-differences analysis on the evaluation of china’s new energy fiscal subsidy policy,
70343838,2-s2.0-84900813235,The effect of China's agricultural tax abolition on rural families' incomes and production,
453009,2-s2.0-84903905661,Does integration and economic policy coordination promote business cycle synchronization in the EU?,
645152,2-s2.0-105034855321,The impact of National Big Data Comprehensive Experimental Zone on agricultural carbon emission intensity,
803372492,2-s2.0-85123588594,The changing effectiveness of financial incentives: Theory and evidence from residential solar rebate programs in California,
3602785418,2-s2.0-85150497731,Model of the Market Value of Apartments Including a Time Variable and Energy Features of a Building,
9013,2-s2.0-105042688183,Does mandatory operating information disclosure affect corporate earnings management? Evidence from China,
97651072,2-s2.0-85149924912,"Environmental policies and low-carbon industrial upgrading: Heterogenous effects among policies, sectors, and technologies in China",
3229,2-s2.0-85169893016,"The Effect of ""Pressure-Type"" Fiscal Incentives on Industrial Restructuring in China",
4688706067,2-s2.0-84949626292,Assessing the socio-economic impacts of rural road improvements in Ghana: A case study of Transport Sector Program Support (II),
800036266,2-s2.0-85125533191,The environmental impact of cement production in Europe: A holistic review of existing EPDs,
936185,2-s2.0-85104472233,"Are government energy technology research, development, and demonstration budgets converging or diverging? Insights from OECD countries",
430649,2-s2.0-85168516295,"Regulation, Supervision and Accounting Conservatism: The Interaction of the Three Pillars of Basel II on the Quality of Reported Earnings in Worldwide Banks",
87029611,2-s2.0-85185294548,Does foreign direct investment influence carbon emission-related environmental problems? Contextual evidence from developing countries across Sub-Saharan Africa,
860630,2-s2.0-85160234358,"Restricting child-directed ads is effective, but adding a time-based ban is better: evaluating a multi-phase regulation to protect children from unhealthy food marketing on television",
1453,2-s2.0-85030775396,Transformation of a University Lecture Hall in Valladolid (Spain) into a NZEB: LCA of a BIPV System Integrated in Its Façade,
74281971,2-s2.0-85189293286,Unveiling the asymmetric effects: global value chain participation and income inequality,
6208,2-s2.0-105025591315,Beyond the Ban—Shedding Light on Smallholders' Price Vulnerability in Indonesia's Palm Oil Industry,
8848604,2-s2.0-44649125536,FR compounders rise to regulatory challenge,
9523632,2-s2.0-85053712727,"Fuel prices, new vehicle fuel economy, and implications for attribute-based standards",
660913240,2-s2.0-105042735848,Unraveling the nexus between emissions trading and corporate carbon outsourcing: Evidence from a quasi-natural experiment in China,
4601951094,2-s2.0-105013483121,Significant differences in residential energy consumption under different pricing models: New evidence from a district heating and cooling project in subtropical China,
577605650,2-s2.0-105028303661,Carbon footprint reduction initiatives and green jobs creation: The mediating role of green innovation,
24356,2-s2.0-84962498745,Included in COP21 text or not: Maritime industry commits to reducing emissions,
4847353126,2-s2.0-0032013264,Charging for capital in the NHS trusts: To improve efficiency?,
63687,2-s2.0-33646781578,"Low-cost airlines, secondary airports, and state aid: An economic assessment of the Ryanair-Charleroi Airport agreement",
5276,2-s2.0-105032543019,Environmental Disclosure Under Mandatory Regulation in EU Listed Companies: An Institutional Analysis,
13921905,2-s2.0-105041090122,Effects of new energy vehicle industry policies on manufacturing carbon emission efficiency: evidence from econometrics and doubly robust causal machine learning,
44505845,2-s2.0-85041097350,Reducing CO 2 emissions in the EU member states: Do environmental taxes work?,
4455283504,2-s2.0-84857798296,Reducing greenhouse gas emissions from agriculture: Avoiding trivial solutions to a global problem,
4724183,2-s2.0-85103688205,Impact of subsidies on innovations of environmental protection and circular economy in China,
59468379,2-s2.0-85016429289,Marginal reductions in vehicle emissions under a dual-blend ethanol mandate: Evidence from a natural experiment,
4801,2-s2.0-85130480425,Increase in Excise Tax Rates on Gasoline and Diesel Fuels—a Negative Effect on the Budget and the Economy,
9479005,2-s2.0-105035513280,Low-Carbon Policy and Earnings Management: Evidence from Chinese Listed Companies,
196732,2-s2.0-2342572904,Trends of exhaust emissions from gasoline motor vehicles in the metropolitan area of Mexico city,
627597,2-s2.0-105028092595,From fee to tax: Examining the ecological and economic impacts of water tax reform in China,
